list_id,list_name,frequency
1,Combined Print & E-Book Fiction,Weekly
2,Hardcover Fiction,Weekly
3,Paperback Trade Fiction,Weekly
4,Combined Print & E-Book Nonfiction,Weekly
5,Hardcover Nonfiction,Weekly
6,Paperback Nonfiction,Weekly
7,"Advice, How-To & Miscellaneous",Weekly
8,Children’s Middle Grade Hardcover,Weekly
9,Children’s Picture Books,Weekly
10,Children’s Series,Weekly
11,Young Adult Hardcover,Weekly
12,Audio Fiction,Monthly
13,Audio Nonfiction,Monthly
14,Business,Monthly
15,Graphic Books and Manga,Monthly
16,Mass Market,Monthly
17,Middle Grade Paperback,Monthly
18,Young Adult Paperback,Monthly
